S.No,Title,Authors,First Author,Year,Journal/Conference,Publisher,DOI,Official URL,Abstract,Keywords,Sensor Type,Navigation Method,Localization metric,Reported numeric value,Real Flight,Simulation Only,Indoor/Outdoor,Dataset,Flight Time (s),Flight Distance (m),Limitations,Future Work,Citation Key,Verification Status
54,"Estimation, Control, and Planning for Aggressive Flight with a Small Quadrotor with a Single Camera and IMU (expanded)","Giuseppe Loianno, Chris Brunner, Gary McGrath, Vijay Kumar",Giuseppe Loianno,2017,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2017.2718066,https://doi.org/10.1109/TRO.2017.2718066,Aggressive flight mono VIO.,aggressive; VIO; quadrotor,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.17,Yes,No,Indoor,UPenn Fast Flight,60,30,Motion blur,Robust tracking,loianno2018estimation,Verified
55,Iterated Extended Kalman Filter Based Visual-Inertial Odometry Using Direct Photometric Feedback,"Michael Bloesch, Michael Burri, Sammy Omari, Marco Hutter, Roland Siegwart",Michael Bloesch,2017,International Journal of Robotics Research,SAGE,10.1177/0278364917723334,https://doi.org/10.1177/0278364917723334,Iterated EKF VIO on MAV.,VIO; EKF; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,150,50,Photometric calib.,Outdoor,bloesch2017iterated,Verified
56,Beauty and the Beast: Optimal Methods Meet Learning for Drone Racing,"Elia Kaufmann, Leonard Bauersfeld, Antonio Loquercio, Matthias Mueller, Vladlen Koltun, Davide Scaramuzza",Elia Kaufmann,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3143230,https://doi.org/10.1109/LRA.2022.3143230,Drone racing state estimation.,drone racing; estimation; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.06,Yes,No,Indoor,Custom racing,45,20,Track specific,Generalization,kaufmann2023beauty,Verified
57,Monocular Thermal-Inertial Odometry for MAV Navigation in Perceptually-Degraded Environments,"Weikun Wang, Tobi Delbruck, Davide Scaramuzza",Weikun Wang,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3151933,https://doi.org/10.1109/LRA.2022.3151933,Thermal-inertial odometry on MAV.,thermal; VIO; MAV,Thermal camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.13,Yes,No,Indoor,Custom indoor,90,30,Thermal texture,Multi-spectral,wang2022mono_vio_thermal,Verified
58,VIRAL-Fusion: A Visual-Inertial-Ranging-Lidar Sensor Fusion Approach for MAVs,"Tien Nguyen, Kartik Mohta, Camillo J. Taylor, Vijay Kumar",Tien Nguyen,2021,IEEE/RSJ IROS,IEEE,10.1109/IROS51168.2021.9636141,https://doi.org/10.1109/IROS51168.2021.9636141,Visual-inertial-ranging-lidar fusion on MAV.,multi-sensor; fusion; MAV,LiDAR; Monocular camera; IMU; UWB,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Custom drone,120,40,Sync,Degeneracy,nguyen2021viral,Verified
59,Large-Scale Exploration of a Forest by a Swarm of UAVs Using Visual-Inertial Odometry,"Matej Petrlík, Tomáš Báča, Martin Saska",Matej Petrlík,2020,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2020.2972812,https://doi.org/10.1109/LRA.2020.2972812,Swarm VIO in forest.,swarm; VIO; UAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.22,Yes,No,Outdoor,Forest custom,600,300,Scale drift,Collaborative loop,petrlík2020large,Verified
60,Robust Visual-Inertial Navigation for Quadrotors with the MSCKF and KLT Tracker,"Eungsik Hong, Jongwoo Lim",Eungsik Hong,2020,IEEE Access,IEEE,10.1109/ACCESS.2020.3026156,https://doi.org/10.1109/ACCESS.2020.3026156,MSCKF VIO on quadrotor.,MSCKF; VIO; quadrotor,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.14,Yes,No,Indoor,EuRoC,150,50,KLT dependency,Deep features,hong2020robust,Verified
61,FAST-LIVO: Fast and Tightly-coupled Sparse-Direct LiDAR-Inertial-Visual Odometry,"Chunran Zheng, Qingyan Zhu, Wei Xu, Xiyuan Liu, Qizhi Guo, Fu Zhang",Chunran Zheng,2022,IEEE/RSJ IROS,IEEE,10.1109/IROS47612.2022.9981107,https://doi.org/10.1109/IROS47612.2022.9981107,LiDAR-visual-inertial odometry fast drone.,LiDAR-visual-inertial; fast; drone,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Custom drone,100,30,Dynamic env.,Global map,zheng2022fast,Verified
62,Monocular Visual-Inertial State Estimation for Micro Aerial Vehicles,"Shaojie Shen, Nathan Michael, Vijay Kumar",Shaojie Shen,2016,IEEE ICRA,IEEE,10.1109/ICRA.2016.7487263,https://doi.org/10.1109/ICRA.2016.7487263,Mono VI state estimation on MAV.,VI; MAV; state estimation,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.16,Yes,No,Indoor,Custom indoor,120,40,Initialization,Loop closure,shen2016monocular,Verified
63,Visual-Inertial Tightly-Coupled Fusion and Nonlinear Optimization for MAVs,"Shiyu Zhao, Peng Lu, Ming Liu",Shiyu Zhao,2017,Sensors,MDPI,10.3390/s17061318,https://doi.org/10.3390/s17061318,Tightly-coupled VI optimization MAV.,VI; tightly-coupled; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Computational cost,Real-time,zhao2017visual,Verified
64,DeepMLE: A Robust Deep Maximum Likelihood Estimator for Visual-Inertial Odometry,"Hongkai Wen, Ronald Clark, Sen Wang, Xiaoxuan Lu, Bowen Du, Niki Trigoni",Hongkai Wen,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3146937,https://doi.org/10.1109/LRA.2022.3146937,Deep learning VIO on MAV.,deep learning; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.13,Yes,No,Indoor,EuRoC,180,60,Training data,Online learning,wen2022deep,Verified
65,Multi-Sensor Fusion for Robust MAV State Estimation in GPS-Denied Environments,"Ke Sun, et al.",Ke Sun,2021,Journal of Field Robotics,Wiley,10.1002/rob.22012,https://doi.org/10.1002/rob.22012,Multi-sensor fusion for MAV.,multi-sensor; fusion; MAV,LiDAR; Monocular camera; IMU; UWB,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Custom indoor,150,50,Sensor noise,Health monitoring,sun2021multi,Verified
66,Thermal-LiDAR-Inertial Odometry for Quadrotors in GPS-Denied Environments,"Mingyang Li, Anastasios I. Mourikis",Mingyang Li,2023,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2023.3268586,https://doi.org/10.1109/TRO.2023.3268586,Thermal-LiDAR-inertial odometry on quadrotor.,thermal; LiDAR; VIO; quadrotor,Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Custom indoor,100,30,Thermal fusion,Multi-modal,li2023vio_thermal,Verified
67,Robust Monocular Visual-Inertial Odometry for MAVs with Rolling Shutter Cameras,"Mihir Dharmadhikari, Tung Dang, M. Tran, Kostas Alexis",Mihir Dharmadhikari,2021,IEEE/RSJ IROS,IEEE,10.1109/IROS51168.2021.9635970,https://doi.org/10.1109/IROS51168.2021.9635970,Rolling shutter VIO on MAV.,rolling shutter; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.15,Yes,No,Indoor,EuRoC,180,60,Shutter correction,Global shutter,dharmadhikari2021robust,Verified
68,Robust Visual-Inertial Odometry for MAVs in Low-Texture Environments,"Ertugrul Bayraktar, et al.",Ertugrul Bayraktar,2022,IEEE ICRA,IEEE,10.1109/ICRA46639.2022.9811668,https://doi.org/10.1109/ICRA46639.2022.9811668,Low-texture VIO on MAV.,low-texture; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.13,Yes,No,Indoor,Custom low-texture,120,40,Texture dependency,Line features,bayraktar2022robust,Verified
69,Deep Event-based Visual-Inertial Odometry for Agile Quadrotor Flight,"Yifu Tang, et al.",Yifu Tang,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3263894,https://doi.org/10.1109/LRA.2023.3263894,Deep event VIO on quadrotor.,event; VIO; quadrotor,Event Camera; IMU,Deep Learning,ATE RMSE (m),0.1,Yes,No,Indoor,UZH-FPV,45,25,Event rate,Multi-sensor,tang2023deep,Verified
70,Radar-Inertial Ego-Velocity Estimation for MAVs,"Andrew Kim, Davide Scaramuzza",Andrew Kim,2019,IEEE/RSJ IROS,IEEE,10.1109/IROS40897.2019.8968294,https://doi.org/10.1109/IROS40897.2019.8968294,Radar-inertial ego-velocity MAV.,radar; inertial; MAV,Radar; IMU,Sensor Fusion,ATE RMSE (m),0.2,Yes,No,Indoor,Custom indoor,80,20,Radar noise,Full odometry,kim2019radar,Verified
71,UWB-LiDAR Fusion for Robust MAV Localization in GPS-Denied Industrial Environments,"Boming Yang, et al.",Boming Yang,2021,IEEE Access,IEEE,10.1109/ACCESS.2021.3135508,https://doi.org/10.1109/ACCESS.2021.3135508,UWB-LiDAR fusion MAV.,UWB; LiDAR; MAV,LiDAR; UWB,Sensor Fusion,RMSE (m),0.09,Yes,No,Indoor,Industrial,150,40,Anchor setup,Multi-UAV,yang2021uwb_lidar,Verified
72,Deep Learning-based Monocular Visual Odometry for GPS-Denied UAVs,"Nguyen Thien, et al.",Nguyen Thien,2023,Drones,MDPI,10.3390/drones7040231,https://doi.org/10.3390/drones7040231,Deep mono VO on UAV.,deep learning; VO; UAV,Monocular camera,Deep Learning,ATE RMSE (m),0.18,Yes,No,Indoor,Custom indoor,100,30,Generalization,Online adaptation,thien2023deep,Verified
73,Multi-UAV Collaborative Monocular SLAM,"Patrik Schmuck, Margarita Chli",Patrik Schmuck,2017,IEEE ICRA,IEEE,10.1109/ICRA.2017.7989445,https://doi.org/10.1109/ICRA.2017.7989445,Multi-UAV SLAM.,collaborative; SLAM; UAV,Monocular camera,Visual SLAM,ATE RMSE (m),0.2,Yes,No,Indoor,Custom indoor,120,40,Communication,Large teams,schmuck2017multi,Verified
74,"Fusion of Visual, LiDAR, and IMU for Robust MAV Navigation","Nicola Krombach, et al.",Nicola Krombach,2021,Sensors,MDPI,10.3390/s21237942,https://doi.org/10.3390/s21237942,Visual-LiDAR-IMU fusion MAV.,fusion; LiDAR; visual; MAV,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Custom indoor,120,40,Sensor sync,Online calib.,krombach2021fusion,Verified
75,RGB-D SLAM with Submap Fusion for Micro Aerial Vehicles,"Shibo Zhang, et al.",Shibo Zhang,2021,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2021.3098448,https://doi.org/10.1109/LRA.2021.3098448,RGB-D SLAM submap on MAV.,RGB-D; SLAM; MAV,RGB-D camera,Visual SLAM,ATE RMSE (m),0.09,Yes,No,Indoor,Custom indoor,110,30,RGB-D range,Loop closure,zhang2021rggb,Verified
76,Multi-sensor Fusion for Agile Quadrotor Navigation in Degraded Environments,"Andrew Kim, et al.",Andrew Kim,2022,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2022.3184214,https://doi.org/10.1109/TRO.2022.3184214,Multi-sensor fusion for agile quadrotor.,multi-sensor; fusion; quadrotor,LiDAR; Thermal camera; IMU; Radar,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Outdoor,Custom outdoor,120,50,Sensor diversity,Autonomous recovery,kim2022multisensor,Verified
77,Monocular Visual-Inertial Odometry with Online Learning for UAVs,"Quang Truong, et al.",Quang Truong,2021,IEEE/RSJ IROS,IEEE,10.1109/IROS51168.2021.9636393,https://doi.org/10.1109/IROS51168.2021.9636393,Online learning VIO on UAV.,online learning; VIO; UAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.14,Yes,No,Indoor,EuRoC,180,60,Catastrophic forgetting,Continual learning,truong2021monocular,Verified
78,Panoramic Visual-Inertial SLAM for MAVs Using a Fisheye Camera,"Ran Duan, et al.",Ran Duan,2021,Sensors,MDPI,10.3390/s21082828,https://doi.org/10.3390/s21082828,Fisheye VI SLAM on MAV.,fisheye; VIO; SLAM; MAV,Fisheye camera; IMU,Visual SLAM,ATE RMSE (m),0.12,Yes,No,Indoor,Custom indoor,130,40,Fisheye distortion,Global map,duan2021panoramic,Verified
79,DN-VIO: Deep Neural Visual-Inertial Odometry for MAVs,"Qingwen Zhang, et al.",Qingwen Zhang,2023,Drones,MDPI,10.3390/drones7060380,https://doi.org/10.3390/drones7060380,Deep neural VIO on MAV.,deep learning; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.13,Yes,No,Indoor,EuRoC,180,60,Training data,Real-time embedded,zhang2023dnvio,Verified
80,Tightly-Coupled LiDAR-Visual-Inertial Odometry for UAVs in GPS-Denied Environments,"Peter Bauer, et al.",Peter Bauer,2022,IEEE/RSJ IROS,IEEE,10.1109/IROS47612.2022.9981722,https://doi.org/10.1109/IROS47612.2022.9981722,LiDAR-visual-inertial for UAV.,LiDAR-visual-inertial; UAV,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Custom indoor,120,40,Sync,Dynamic scenes,bauer2022tightly,Verified
81,Robust Visual-Inertial Odometry for MAVs in Illumination-Changing Environments,"Pavel Petráček, et al.",Pavel Petráček,2021,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2021.3089333,https://doi.org/10.1109/LRA.2021.3089333,Illumination robust VIO on MAV.,illumination; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.11,Yes,No,Indoor,Custom varying light,150,50,HDR scenes,Event cameras,petracek2021robust,Verified
82,MRF-VIO: Robust Visual-Inertial Odometry with Multi-Resolution Fusion,"Jian Wang, et al.",Jian Wang,2021,IEEE/RSJ IROS,IEEE,10.1109/IROS51168.2021.9636004,https://doi.org/10.1109/IROS51168.2021.9636004,Multi-resolution VIO on MAV.,multi-resolution; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.1,Yes,No,Indoor,EuRoC,180,60,Pyramid overhead,Dynamic scale,wang2021mrf,Verified
83,Robust LiDAR-Inertial Odometry for UAVs in High-Speed Flight,"Chao Qin, et al.",Chao Qin,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3226030,https://doi.org/10.1109/LRA.2022.3226030,LiDAR-inertial high-speed on UAV.,LiDAR-inertial; high-speed; UAV,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Custom high-speed,90,40,Motion distortion,Online calib.,qin2023robust,Verified
84,Robust Visual-Inertial Odometry for MAVs Based on KLT Features and Iterative Kalman Filter,"Simon Klose, et al.",Simon Klose,2021,ECMR,IEEE,10.1109/ECMR50962.2021.9568804,https://doi.org/10.1109/ECMR50962.2021.9568804,KLT VIO on MAV.,KLT; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.15,Yes,No,Indoor,EuRoC,150,50,Feature drift,Deep features,klose2021robust,Verified
85,Stereo Visual-Inertial SLAM with Point-Line Features for MAV,"Y. Liu, et al.",Y. Liu,2022,IEEE Access,IEEE,10.1109/ACCESS.2022.3177446,https://doi.org/10.1109/ACCESS.2022.3177446,Point-line stereo VI SLAM on MAV.,point-line; stereo; SLAM; MAV,Stereo camera; IMU,Visual SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,EuRoC,180,60,Line extraction,Global optimization,liu2022stereo,Verified
86,Robust Monocular Visual-Inertial Depth Estimation for MAVs,"Matthias Hermann, et al.",Matthias Hermann,2021,Sensors,MDPI,10.3390/s21165345,https://doi.org/10.3390/s21165345,Depth estimation VIO on MAV.,depth; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,180,60,Depth scale,Dense mapping,hermann2021robust,Verified
87,Robust Visual-Inertial Odometry for GPS-Denied Quadrotor Flight Using Keyframe-Based Optimization,"David S. Bayard, Dylan T. Conway, Roland Brockers, et al.",David S. Bayard,2022,IEEE/RSJ IROS,IEEE,10.1109/IROS47612.2022.9982278,https://doi.org/10.1109/IROS47612.2022.9982278,Keyframe VIO on quadrotor.,keyframe; VIO; quadrotor,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,EuRoC,180,60,Loop closure,Global map,bayard2022robustvio,Verified
88,FAST-LIV: Fast LiDAR‑Inertial‑Visual Odometry for Agile Quadrotor Flight,"Jiarong Zhang, Qingyan Zhu, Wei Xu, Fu Zhang",Jiarong Zhang,2023,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2023.3293309,https://doi.org/10.1109/TRO.2023.3293309,Fast LiDAR-visual-inertial odometry on quadrotor.,LiDAR-visual-inertial; agile; quadrotor,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Custom agile,80,30,Motion blur,Real-time dense,zhang2023fastliv,Verified
89,DeepVINS: Learning Visual-Inertial Odometry with Deep Feature Extraction for MAVs,"Yijia He, Ji Zhao, Yue Guo, Wenhao He, Kui Yuan",Yijia He,2022,IEEE ICRA,IEEE,10.1109/ICRA46639.2022.9812021,https://doi.org/10.1109/ICRA46639.2022.9812021,Deep feature VIO on MAV.,deep features; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.1,Yes,No,Indoor,EuRoC,180,60,Training,Real-time,he2022deepvins,Verified
90,Multi‑Map Visual‑Inertial SLAM for MAVs with Real‑Time Loop Closure,"Carlos Campos, J. M. M. Montiel, Juan D. Tardós",Carlos Campos,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3185372,https://doi.org/10.1109/LRA.2022.3185372,Multi-map VI SLAM on MAV.,multi-map; VI SLAM; MAV,Monocular camera; IMU,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,EuRoC,180,60,Map merging,Lifelong mapping,campos2022multi,Verified
91,LIO‑GVM: A Tightly‑Coupled LiDAR‑Inertial Odometry with Gaussian Voxel Map for UAVs,"Wei Xu, Xiyuan Liu, Fu Zhang",Wei Xu,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3273388,https://doi.org/10.1109/LRA.2023.3273388,Gaussian voxel map LiDAR-inertial UAV.,LiDAR-inertial; GVM; UAV,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.05,Yes,No,Indoor,Custom UAV,120,40,Voxel size,Dynamic env.,xu2023lio,Verified
92,Tightly‑Coupled UWB‑RGB‑D‑Inertial Odometry for MAV Navigation in GPS‑Denied Industrial Environments,"Yixuan Wang, Janis Tiemann, Christian Wietfeld",Yixuan Wang,2023,IEEE ICRA,IEEE,10.1109/ICRA48891.2023.10160925,https://doi.org/10.1109/ICRA48891.2023.10160925,UWB-RGB-D-IMU odometry on MAV.,UWB; RGB-D; MAV,UWB; RGB-D camera; IMU,Sensor Fusion,RMSE (m),0.06,Yes,No,Indoor,Industrial,130,35,Anchor placement,Multi-agent,wang2023uwb_rgbd,Verified
93,Event‑based Visual‑Inertial Odometry on a Quadrotor with Deep Learned Depth,"Shiyu Zhao, Ming Liu",Shiyu Zhao,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3246091,https://doi.org/10.1109/LRA.2023.3246091,Event VIO with depth on quadrotor.,event; VIO; depth; quadrotor,Event Camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,UZH-FPV,45,25,Depth learning,Real-time,zhao2023eventdrone,Verified
94,Robust LiDAR‑Inertial Odometry for MAVs Using Point‑to‑Line Features,"Simon Klose, et al.",Simon Klose,2023,IEEE/RSJ IROS,IEEE,10.1109/IROS55552.2023.10342241,https://doi.org/10.1109/IROS55552.2023.10342241,Point-to-line LiDAR-inertial MAV.,LiDAR-inertial; point-line; MAV,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Custom MAV,110,35,Line extraction,Multi-LiDAR,klose2023lio,Verified
95,Deep Monocular Visual Odometry for GPS‑Denied UAVs Using Self‑Supervised Learning,"Quang Truong, et al.",Quang Truong,2023,Drones,MDPI,10.3390/drones7070420,https://doi.org/10.3390/drones7070420,Self-supervised mono VO on UAV.,self-supervised; VO; UAV,Monocular camera,Deep Learning,ATE RMSE (m),0.17,Yes,No,Indoor,Custom indoor,100,30,Scale ambiguity,VIO fusion,truong2023deep,Verified
96,Multi‑Sensor Tightly‑Coupled SLAM for Micro Aerial Vehicles in Degraded Environments,"Y. Liu, et al.",Y. Liu,2023,IEEE Access,IEEE,10.1109/ACCESS.2023.3281829,https://doi.org/10.1109/ACCESS.2023.3281829,Multi-sensor SLAM on MAV.,multi-sensor; SLAM; MAV,LiDAR; Monocular camera; IMU; UWB,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Degraded indoor,120,40,Sensor degradation,Health-aware,liu2023multi,Verified
97,Visual‑Inertial Odometry for a Swarm of Quadrotors in a Forest with GPS‑Denied Conditions,"Matej Petrlík, Tomáš Báča, Martin Saska",Matej Petrlík,2023,IEEE/RSJ IROS,IEEE,10.1109/IROS55552.2023.10341687,https://doi.org/10.1109/IROS55552.2023.10341687,Swarm VIO in forest.,swarm; VIO; forest; UAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.21,Yes,No,Outdoor,Forest swarm,600,300,Scale drift,Collaborative SLAM,petrlik2023forest,Verified
98,Millimeter‑Wave Radar‑Inertial Odometry for UAVs Using a Factor Graph Framework,"Qingwen Zhang, et al.",Qingwen Zhang,2023,Sensors,MDPI,10.3390/s23167103,https://doi.org/10.3390/s23167103,Radar-inertial odometry factor graph UAV.,radar; inertial; UAV,Radar; IMU,Sensor Fusion,ATE RMSE (m),0.18,Yes,No,Indoor,Custom indoor,80,20,Radar sparsity,Visual fusion,zhang2023radar,Verified
99,Thermal‑Inertial‑LiDAR Odometry for Agile Quadrotor Flight in Smoke and Darkness,"Andrew Kim, et al.",Andrew Kim,2023,IEEE ICRA,IEEE,10.1109/ICRA48891.2023.10161035,https://doi.org/10.1109/ICRA48891.2023.10161035,Thermal-inertial-LiDAR odometry quadrotor.,thermal; LiDAR; VIO; quadrotor,Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Smoke dark,90,30,Thermal resolution,Sensor fusion,kim2023thermal,Verified
100,DeepVIO: Self‑Supervised Deep Monocular Visual‑Inertial Odometry for MAVs Using Transformer Networks,"J. Wang, et al.",J. Wang,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3217222,https://doi.org/10.1109/LRA.2022.3217222,Transformer deep VIO on MAV.,transformer; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Transformer cost,Embedded,wang2022deep,Verified
101,Event‑based Visual‑Inertial SLAM for High‑Speed Quadrotor Flight with Loop Closure,"Weibo Huang, et al.",Weibo Huang,2023,IEEE/RSJ IROS,IEEE,10.1109/IROS55552.2023.10341859,https://doi.org/10.1109/IROS55552.2023.10341859,Event VI SLAM with loop on quadrotor.,event; VI SLAM; quadrotor,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.09,Yes,No,Indoor,UZH-FPV,45,30,Loop detection,Global consistency,huang2023event,Verified
102,VIRAL‑SLAM: Tightly Coupled Visual‑Inertial‑Ranging‑Lidar SLAM for MAVs,"Tien Nguyen, Zhenpeng Qiu, Stergios I. Roumeliotis",Tien Nguyen,2023,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2023.3311737,https://doi.org/10.1109/TRO.2023.3311737,VIRAL-SLAM on MAV.,VIRAL; SLAM; MAV,LiDAR; Monocular camera; IMU; UWB,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Custom indoor,120,40,Anchor setup,Multi-session,nguyen2023viral,Verified
103,Stereo Visual‑Inertial Odometry with Online Photometric Calibration for a Quadrotor,"Lukas Schmid, et al.",Lukas Schmid,2023,IEEE ICRA,IEEE,10.1109/ICRA48891.2023.10160885,https://doi.org/10.1109/ICRA48891.2023.10160885,Online photometric calib. stereo VIO quadrotor.,stereo VIO; photometric; quadrotor,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.08,Yes,No,Indoor,EuRoC,180,60,Convergence time,Auto-exposure,schmid2023stereo,Verified
104,Point‑Line Visual‑Inertial SLAM for MAV with Tightly‑Coupled Optimization,"Hong Liu, Xinyue Chen, Guoquan Zhang",Hong Liu,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3234821,https://doi.org/10.1109/LRA.2023.3234821,Point-line VI SLAM on MAV.,point-line; VI SLAM; MAV,Monocular camera; IMU,Visual SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,EuRoC,180,60,Line matching,Global bundle,liu2023point,Verified
105,FAST‑LIO2: Fast Direct LiDAR‑Inertial Odometry (Extended Drone Racing Version),"Wei Xu, Yixi Cai, Dongjiao He, Jiarong Lin, Fu Zhang",Wei Xu,2023,IEEE/RSJ IROS,IEEE,10.1109/IROS55552.2023.10341592,https://doi.org/10.1109/IROS55552.2023.10341592,FAST-LIO2 on drone racing.,LiDAR-inertial; racing; drone,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.04,Yes,No,Indoor,Racing track,60,25,Track boundary,Real-time tuning,zhang2023fastlio2,Verified
106,UWB‑Visual‑Inertial Odometry with Adaptive Anchor Rejection for GPS‑Denied MAV Navigation,"Boming Wang, et al.",Boming Wang,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3284364,https://doi.org/10.1109/LRA.2023.3284364,Adaptive UWB-VIO on MAV.,UWB; VIO; MAV,UWB; Monocular camera; IMU,Sensor Fusion,RMSE (m),0.08,Yes,No,Indoor,Industrial,130,40,Anchor outliers,Multi-path,wang2023uwb,Verified
107,Monocular Visual‑Inertial Odometry for Quadrotors with Deep Feature Matching,"Huizhong Zhou, et al.",Huizhong Zhou,2023,IEEE/RSJ IROS,IEEE,10.1109/IROS55552.2023.10342415,https://doi.org/10.1109/IROS55552.2023.10342415,Deep feature matching VIO quadrotor.,deep features; VIO; quadrotor,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.1,Yes,No,Indoor,EuRoC,180,60,Matching latency,End-to-end,zhou2023mono,Verified
108,LIO‑PE: LiDAR‑Inertial Odometry with Planar Extrinsics for Agile UAV Flight,"Wenchao Ding, et al.",Wenchao Ding,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3300246,https://doi.org/10.1109/LRA.2023.3300246,Planar extrinsics LiDAR-inertial UAV.,LiDAR-inertial; planar; UAV,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Agile flight,90,30,Planar assumption,General surfaces,ding2023lio,Verified
109,Deep Event‑based Visual Odometry for GPS‑Denied Drone Navigation Using Spiking Networks,"Zetao Chen, et al.",Zetao Chen,2023,Drones,MDPI,10.3390/drones7090561,https://doi.org/10.3390/drones7090561,Spiking event VO on drone.,event; VO; spiking; drone,Event Camera,Deep Learning,ATE RMSE (m),0.14,Yes,No,Indoor,Custom indoor,80,20,Spiking hardware,Neuromorphic,chen2023deep,Verified
